idx,qa_key,question,question_type,baseline_label,raw_memory_count,suspected_counterevidence_count,top_suspicion_score,top_suspected_reason
1010,6:52:3,"What pet type did Donna update her preferences to include on Aug 17, 2037?",Basic Fact Recall,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1011,6:54:1,"What is Donna's middle name as of January 24, 2038?",Memory Boundary,correct,20,6,9,"shared topic/object tokens: january; shared entity/name anchor; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
1012,6:54:2,"What beverage preference did Donna express on January 24, 2038?",Basic Fact Recall,omission,20,6,9,"shared topic/object tokens: january; shared entity/name anchor; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
1013,6:54:3,"Did Donna decide to avoid locally sourced fruits on January 24, 2038?",Memory Conflict,omission,20,6,10,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal
1014,6:56:1,"Did Donna establish EcoStrategic Consulting before March 01, 2038?",Memory Conflict,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1015,6:56:2,Did Donna's health improve significantly after starting her consultancy role in December 2037?,Memory Conflict,omission,20,4,7,"shared topic/object tokens: december, donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing"
1016,6:56:3,"Was Donna's mental health considered 'Stable and Positive' as of December 01, 2037?",Memory Conflict,correct,20,5,7,"shared topic/object tokens: december, donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing"
1019,6:56:6,"What is Donna's middle name as of August 15, 2037?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1020,6:56:7,"What is Donna's blood type as of December 1, 2037?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: december, donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing"
1021,6:56:8,"What was Donna's salary at EcoStrategic Consulting on March 1, 2038?",Memory Boundary,correct,20,4,6,shared topic/object tokens: donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing
1022,6:56:9,"What is the name of Donna's partner as of July 1, 2038?",Memory Boundary,omission,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1025,6:57:3,"Did Donna express a preference for unrealistic science fiction films on Jul 04, 2038?",Memory Conflict,correct,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1028,6:58:3,"What is Donna's middle name as of Dec 11, 2038?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1029,6:59:1,"What new types of pets might Donna consider adopting after May 21, 2039?",Generalization & Application,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1030,6:59:2,"What is Donna's middle name as of May 21, 2039?",Memory Boundary,correct,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1031,6:59:3,"Did Donna's dislike for rodents persist after May 21, 2039?",Memory Conflict,omission,20,5,11,shared topic/object tokens: donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal
1032,6:60:1,What type of products might Donna consider purchasing ethically beyond coffee as of 2039-10-28?,Generalization & Application,hallucination,20,3,5,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing
1033,6:60:2,What beverage preference did Donna modify on 2039-10-28?,Basic Fact Recall,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1034,6:60:3,"Did Donna decide to stop drinking coffee altogether after watching the documentary on Oct 28, 2039?",Memory Conflict,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1035,6:63:1,"What kind of new recipes might Donna explore after April 06, 2040, based on her interest in plant-based nutrition?",Generalization & Application,correct,20,5,8,"shared topic/object tokens: bas, plant; negation/contrast cues: avoids; possible preference polarity reversal"
1036,6:63:2,"Which types of restaurants might Donna prefer to visit after April 06, 2040, given her dietary goals?",Generalization & Application,correct,20,5,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1037,6:63:3,"Did Donna express dissatisfaction with the nutritional science seminar she attended on Apr 06, 2040?",Memory Conflict,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1038,6:66:1,"Did Donna express a lack of enthusiasm for leveraging her network for sustainability initiatives on May 01, 2040?",Memory Conflict,correct,20,3,5,shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing
1039,6:66:2,"Did Donna's consultancy firm's revenue decrease due to poor contract negotiations on Jan 10, 2040?",Memory Conflict,omission,20,3,6,shared topic/object tokens: donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing
1040,6:66:3,"Did Donna express dissatisfaction with her global network expansion on Mar 15, 2040?",Memory Conflict,omission,20,4,6,shared topic/object tokens: donna; shared entity/name anchor; temporal/update cues overlap with question timing
1041,6:66:4,"What was Donna's monthly income updated to on January 10, 2040?",Basic Fact Recall,omission,20,6,9,"shared topic/object tokens: january; shared entity/name anchor; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
1043,6:66:6,"What was Donna's consultancy firm's exact revenue on July 15, 2040?",Memory Boundary,omission,20,4,6,shared topic/object tokens: donna'; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing
1047,7:2:1,"What is Taylor David's middle name as of Sep 05, 2025?",Memory Boundary,correct,19,3,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1048,7:2:2,"What is Taylor David's job title as of Sep 05, 2025?",Basic Fact Recall,correct,19,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1049,7:2:3,"What is Taylor David's job title as of Sep 05, 2025, and does he work for a company?",Memory Conflict,correct,19,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1051,7:3:2,What type of games does Taylor David dislike?,Basic Fact Recall,correct,19,2,7,shared entity/name anchor; possible preference polarity reversal
1053,7:7:1,"What is the name of Taylor's consultancy founded on December 17, 2025?",Basic Fact Recall,omission,19,3,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1054,7:7:2,"What was Taylor David's job title as of December 18, 2025?",Basic Fact Recall,hallucination,19,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1056,7:7:4,"What was Taylor David's physical health status as of January 15, 2026?",Basic Fact Recall,hallucination,19,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1057,7:7:5,"What is Taylor David's current employment status as of February 10, 2026?",Dynamic Update,correct,19,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1058,7:7:6,"How has Taylor David's mental health status changed by January 15, 2026?",Dynamic Update,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1059,7:7:7,"What is the latest monthly income for Taylor David as of December 18, 2025?",Dynamic Update,correct,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1060,7:7:8,"What is the current savings amount for Taylor David as of December 18, 2025?",Dynamic Update,correct,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1061,7:8:1,"Did Taylor decide to promote violent video games after attending the conference on Apr 09, 2026?",Memory Conflict,correct,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1063,7:8:3,"What type of media might Taylor advocate for children's development after Apr 09, 2026?",Generalization & Application,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1064,7:9:1,"What type of movies did Taylor start appreciating on October 13, 2026?",Basic Fact Recall,omission,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1065,7:9:2,"What type of movie might Taylor enjoy watching on October 13, 2026, to gain insights into children's psychological needs?",Generalization & Application,hallucination,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1068,7:10:3,"What type of restaurant would Taylor likely prefer to visit after April 18, 2027?",Generalization & Application,omission,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1069,7:11:1,"What is Taylor David's beverage preference as of Oct 23, 2027?",Basic Fact Recall,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1070,7:11:2,"Did Taylor David express satisfaction with herbal teas for stress management on Oct 23, 2027?",Memory Conflict,omission,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1071,7:11:3,"Is Taylor David uninterested in alternative stress management methods as of Oct 23, 2027?",Memory Conflict,correct,20,3,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal
1072,7:16:1,"What is Taylor David's current job title as of March 19, 2028?",Dynamic Update,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1073,7:16:2,"What is Taylor David's latest physical health status as of January 05, 2028?",Dynamic Update,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1074,7:16:3,"How has Taylor David's mental health status changed by January 05, 2028?",Dynamic Update,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1075,7:16:4,"What was Taylor David's middle name as of March 1, 2028?",Memory Boundary,omission,20,3,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1077,7:16:6,"Who was Taylor David's closest family member on February 10, 2028?",Memory Boundary,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1078,7:16:7,"Did Taylor David's income decrease after transitioning to City Children's Hospital on Nov 19, 2027?",Memory Conflict,omission,20,4,6,"shared topic/object tokens: children', hospital; possible event completion vs plan/alternative contrast"
1079,7:16:8,"On Jan 05, 2028, did Taylor David report improved physical health due to his hospital role?",Memory Conflict,omission,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1080,7:16:9,"Was Taylor David's job title unchanged after his transition on Nov 19, 2027?",Memory Conflict,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1081,7:16:10,"Did Taylor David express dissatisfaction with his professional network expansion on Feb 10, 2028?",Memory Conflict,omission,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1082,7:16:11,"What is Taylor David's job title as of November 19, 2027?",Basic Fact Recall,hallucination,20,4,7,"shared topic/object tokens: november, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1083,7:16:12,"What was Taylor David's monthly income on November 19, 2027?",Basic Fact Recall,hallucination,20,5,7,"shared topic/object tokens: november, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1084,7:16:13,"Who is Taylor David's mentor as of February 10, 2028?",Basic Fact Recall,omission,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1085,7:16:14,"What is Taylor David considering to manage stress as of January 05, 2028?",Basic Fact Recall,hallucination,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1086,7:17:1,"What type of textiles does Taylor David prefer as of April 27, 2028?",Basic Fact Recall,hallucination,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1087,7:17:2,"Did Taylor David express a preference for harsh fabrics on April 27, 2028?",Memory Conflict,correct,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1092,7:19:1,"What conference did Taylor David attend on May 06, 2029?",Basic Fact Recall,omission,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1093,7:19:2,"Did Taylor David maintain a strong aversion to extreme sports after the May 06, 2029 conference?",Memory Conflict,omission,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1094,7:19:3,"How might Taylor David integrate extreme sports into his routine for stress relief after May 06, 2029?",Generalization & Application,hallucination,20,3,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1095,7:23:1,"What is the name of the non-profit organization founded by Taylor David on June 28, 2029?",Basic Fact Recall,omission,20,3,8,"shared topic/object tokens: david, name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1096,7:23:2,What was Taylor David's job title after founding the Global Nutrition Initiative?,Basic Fact Recall,hallucination,20,3,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1097,7:23:3,What was Taylor David's monthly income after founding the Global Nutrition Initiative?,Basic Fact Recall,hallucination,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1100,7:23:6,"Did Taylor David start the Global Nutrition Initiative on July 15, 2029?",Memory Conflict,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1101,7:23:7,Was Taylor David's monthly income increased to $6000 after founding the Global Nutrition Initiative?,Memory Conflict,hallucination,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1103,7:23:9,"Was Taylor David's career in hospital healthcare on August 10, 2029?",Memory Conflict,correct,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1104,7:23:10,Did Taylor David express regret over the founding of the Global Nutrition Initiative?,Memory Conflict,correct,20,1,4,shared entity/name anchor; weak preference contrast
1106,7:24:1,"What type of games did Taylor decide to prefer on Nov 10, 2029?",Basic Fact Recall,omission,20,6,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1107,7:24:2,"What is Taylor's middle name as of Nov 10, 2029?",Memory Boundary,omission,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1108,7:24:3,"How might Taylor integrate interactive learning tools into his nutrition plans for children after Nov 10, 2029?",Generalization & Application,omission,20,3,5,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1109,7:25:1,"How might Taylor David integrate documentaries on lifestyle changes into his health advocacy work after May 17, 2030?",Generalization & Application,omission,20,7,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1110,7:25:2,"What type of films is Taylor David likely to appreciate for educational purposes after May 17, 2030?",Generalization & Application,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1111,7:25:3,"What type of movies did Taylor David develop a preference for as of May 17, 2030?",Basic Fact Recall,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1115,7:27:1,"What type of juices does Taylor David prefer as of May 25, 2031?",Basic Fact Recall,correct,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1116,7:27:2,"Did Taylor David decide to increase sugar intake in his beverage choices after May 25, 2031?",Memory Conflict,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1118,7:31:1,What kind of clothing might Taylor David prefer for future professional events?,Generalization & Application,hallucination,20,1,7,shared topic/object tokens: professional; negation/contrast cues: avoids; possible preference polarity reversal
1119,7:31:2,"What is Taylor David's middle name as of Nov 29, 2031?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1120,7:31:3,"What was the specific brand of formal wear Taylor David wore on Nov 29, 2031?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1121,7:33:1,"What is Taylor David's job title as of August 13, 2031?",Basic Fact Recall,hallucination,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1122,7:33:2,"What was Taylor David's monthly income from consultancy work as of August 13, 2031?",Basic Fact Recall,hallucination,20,7,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1123,7:33:3,"As of October 2, 2031, what practices did Taylor David explore to refocus on personal recovery?",Basic Fact Recall,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1124,7:33:4,"What change in Taylor David's health status occurred by October 2, 2031, due to his work demands?",Basic Fact Recall,omission,20,8,7,shared topic/object tokens: health; shared entity/name anchor; possible event completion vs plan/alternative contrast
1125,7:33:5,"What activity did Taylor David incorporate into his morning routine as of January 5, 2032?",Basic Fact Recall,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1126,7:33:6,"What new form of physical activity did Taylor David explore by January 5, 2032?",Basic Fact Recall,omission,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1127,7:33:7,"By March 13, 2032, what balance did Taylor David achieve in his professional life?",Basic Fact Recall,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1128,7:33:8,"What was the change in Taylor David's savings by August 13, 2031?",Basic Fact Recall,hallucination,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1129,7:33:9,"What is the latest status of Taylor David's physical health as of January 5, 2032?",Dynamic Update,correct,20,6,7,"shared topic/object tokens: health, physical, statu; negation/contrast cues: changed; temporal/update cues overlap with question timing"
1130,7:33:10,"What was Taylor David's mental health status on October 2, 2031?",Dynamic Update,omission,20,6,7,"shared topic/object tokens: health, mental, statu; negation/contrast cues: transitioned; temporal/update cues overlap with question timing"
1131,7:33:11,"What is the latest job title of Taylor David as of March 13, 2032?",Dynamic Update,hallucination,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1132,7:33:12,"How did Taylor David's monthly income change by August 13, 2031?",Dynamic Update,hallucination,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1134,7:34:2,"Did Taylor David express a preference for luxury travel over comfortable travel on Jun 03, 2032?",Memory Conflict,correct,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1136,7:35:1,"What type of yoga does Taylor David prefer as of December 8, 2032?",Basic Fact Recall,omission,20,6,7,shared topic/object tokens: yoga; negation/contrast cues: avoids; possible preference polarity reversal
1137,7:35:2,What new stress management technique could Taylor David explore based on his interest in mindfulness yoga?,Generalization & Application,correct,20,1,7,shared topic/object tokens: yoga; negation/contrast cues: avoids; possible preference polarity reversal
1138,7:35:3,"What is Taylor David's middle name as of Dec 08, 2032?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1139,7:39:1,"How might Taylor's shift to collaborative puzzle games impact his consultancy work after Jun 12, 2033?",Generalization & Application,omission,20,7,8,"shared topic/object tokens: impact, taylor'; shared entity/name anchor; possible event completion vs plan/alternative contrast"
1141,7:39:3,"Did Taylor express a preference for solo puzzle games after the team retreat on Jun 12, 2033?",Memory Conflict,omission,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1142,7:40:1,"What is Taylor David's middle name as of June 21, 2033?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1143,7:40:2,"What is the exact number of strategic partners Taylor has as of June 10, 2033?",Memory Boundary,correct,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1144,7:40:3,"What strategies did Taylor use to manage his chronic fatigue syndrome as of Jun 21, 2033?",Multi-hop Inference,omission,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1145,7:40:4,"What is Taylor David's latest employment status as of June 21, 2033?",Dynamic Update,correct,20,6,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1146,7:40:5,"What is Taylor David's current physical health status as of June 21, 2033?",Dynamic Update,hallucination,20,6,7,"shared topic/object tokens: health, physical, statu; negation/contrast cues: changed; temporal/update cues overlap with question timing"
1148,7:41:1,"What is Taylor's middle name as of December 17, 2033?",Memory Boundary,omission,20,4,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1149,7:41:2,"What type of movies does Taylor prefer as of Dec 17, 2033?",Basic Fact Recall,hallucination,20,7,10,shared topic/object tokens: movi; negation/contrast cues: avoided; temporal/update cues overlap with question timing; possible preference polarity reversal
1150,7:41:3,"What type of professional development activities might Taylor engage in based on his evolving movie preferences as of Dec 17, 2033?",Generalization & Application,omission,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1152,7:42:2,"What is Taylor David's middle name as of Jun 22, 2034?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1153,7:42:3,"Did Taylor David express satisfaction with sugary cereals in his meal plans on Jun 22, 2034?",Memory Conflict,correct,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1154,7:43:1,"How might Taylor David's flexible dietary approach influence his professional meal planning strategies after Dec 26, 2034?",Generalization & Application,omission,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1156,7:43:3,"Did Taylor David express dissatisfaction with adopting a flexible dietary approach on Dec 26, 2034?",Memory Conflict,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1157,7:46:1,"What is Taylor David's clothing preference as of July 1, 2035?",Basic Fact Recall,hallucination,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1158,7:46:2,"What is Taylor David's middle name as of July 01, 2035?",Memory Boundary,correct,20,4,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1159,7:46:3,"Did Taylor David express dissatisfaction with the new clothing line due to its lack of flexibility on Jul 01, 2035?",Memory Conflict,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1161,7:49:2,"What type of travel experience might Taylor David prefer for gaining insights into global dietary practices after January 05, 2036?",Generalization & Application,correct,20,6,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1164,7:50:2,"What was Taylor David's weight on July 01, 2035?",Memory Boundary,omission,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1168,7:50:6,What was Taylor David's job title before founding Taylor's Expanded Nutrition Consultancy?,Memory Boundary,omission,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1170,7:50:8,"What strategies might Taylor develop to expand the impact of the Global Nutrition Initiative after Sep 01, 2035?",Generalization & Application,omission,20,3,5,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1171,7:50:9,"How might Taylor balance his professional ambitions with personal well-being after Nov 01, 2035?",Generalization & Application,omission,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1172,7:50:10,"What approach might Taylor take to handle future challenges in nutrition advocacy after Feb 01, 2036?",Generalization & Application,correct,20,3,5,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1173,7:50:11,"What could motivate Taylor to maintain his health improvements after Jul 01, 2035?",Generalization & Application,hallucination,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1174,7:50:12,"What might Taylor focus on to strengthen the Global Nutrition Initiative's impact after Nov 01, 2035?",Generalization & Application,omission,20,4,5,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1175,7:50:13,"How might Taylor's leadership approach evolve after Feb 01, 2036?",Generalization & Application,omission,20,4,5,shared entity/name anchor; temporal/update cues overlap with question timing
1176,7:50:14,"What might Taylor prioritize to maintain his advocacy goals after Feb 01, 2036?",Generalization & Application,hallucination,20,4,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1177,7:51:1,"What change did Taylor David make regarding competitive weightlifting on Jul 10, 2036?",Basic Fact Recall,omission,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1178,7:51:2,"Where did Taylor David visit a gym on Jul 10, 2036?",Basic Fact Recall,omission,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1179,7:51:3,"Did Taylor David maintain his dislike for competitive weightlifting after July 10, 2036?",Memory Conflict,omission,20,5,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal
1180,7:52:1,"What type of games did Taylor David's preference shift to on Jan 13, 2037?",Basic Fact Recall,omission,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1181,7:52:2,"What workshop did Taylor David attend on Jan 13, 2037?",Basic Fact Recall,omission,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1182,7:52:3,"What is Taylor David's middle name as of Jan 13, 2037?",Memory Boundary,correct,20,5,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1183,7:54:1,"Did Taylor David decide to avoid films with excessive violence after July 19, 2037?",Memory Conflict,correct,20,9,9,shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal
1185,7:54:3,"What types of films might Taylor David find educationally valuable after July 19, 2037?",Generalization & Application,hallucination,20,4,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1186,7:58:1,"What position did Taylor David hold on Jun 17, 2037?",Basic Fact Recall,hallucination,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1187,7:58:2,"What organization did Taylor David work for on Jun 17, 2037?",Basic Fact Recall,hallucination,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1189,7:58:4,"What was Taylor David's weight on December 17, 2037?",Memory Boundary,correct,20,5,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1190,7:58:5,"What is Taylor David's latest career status as of Dec 17, 2037?",Dynamic Update,hallucination,20,7,6,shared topic/object tokens: taylor; shared entity/name anchor; temporal/update cues overlap with question timing
1191,7:58:6,"How has Taylor David's mental health status changed by Dec 17, 2037?",Dynamic Update,omission,20,7,7,"shared topic/object tokens: health, mental, statu; negation/contrast cues: transitioned; temporal/update cues overlap with question timing"
1192,7:59:1,"What type of snacks does Taylor David prefer as of Jan 24, 2038?",Basic Fact Recall,correct,20,5,7,"shared topic/object tokens: david, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1193,7:59:2,"How might Taylor's shift to natural snacks influence his nutrition advocacy work after Jan 24, 2038?",Generalization & Application,omission,20,7,8,"shared topic/object tokens: nutrition, taylor'; shared entity/name anchor; possible event completion vs plan/alternative contrast"
1195,7:60:1,"What is Taylor David's middle name as of Jul 29, 2038?",Memory Boundary,correct,20,5,7,"shared topic/object tokens: name, taylor; shared entity/name anchor; temporal/update cues overlap with question timing"
1196,7:60:2,"What type of beverages should Taylor explore for enhancing focus during meal planning after July 29, 2038?",Generalization & Application,omission,20,2,8,"shared topic/object tokens: meal, plann; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing"
