idx,qa_key,question,question_type,baseline_label,r3a_triggered,memory_index,memory_text,topic_overlap_score,negation_or_contrast_score,temporal_conflict_score,preference_reversal_score,event_denial_score,total_suspicion_score,suspected_reason,r3a_rejected_reason_if_available,priority_group,manual_has_retrieved_counterevidence,manual_counterevidence_label,manual_should_r3a_trigger,manual_failure_source,manual_notes
2763,17:11:2,"Did Donald Smith maintain his dislike for energy drinks during his campaign events on Feb 11, 2027?",Memory Conflict,omission,False,18,"User's second child was born on August 12, 2007, is an aspiring artist who enjoys engaging in family discussions on current events.",1,0,2,5,0,8,shared topic/object tokens: event; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2799,17:28:2,"Did Donald Smith maintain his dislike for adventure sports trips on Sep 24, 2030?",Memory Conflict,omission,False,2,"User dislikes backpacking, adventure‑sport trips, and solo travel, finding them unpredictable or distracting, and instead prefers organized travel with companions that allows him to stay connected and focused on supporting his relative's campaign goals.",3,3,0,2,0,8,"shared topic/object tokens: adventure, sport, trip; negation/contrast cues: dislikes, instead; weak preference contrast",not_refuting,P1_memory_conflict_omission_untriggered_suspected,,,,,
2829,17:38:1,"Did Donald Smith prefer light salads over hearty grain salads during his campaign days on Dec 27, 2032?",Memory Conflict,omission,False,1,"User enjoys roast chicken, recalling family gatherings discussing his relative's achievements; he also likes fresh salads for energy during campaign days and chocolate cake as a treat after successful events, but avoids spicy curry because its intense flavors distract from important conversations.",3,1,2,2,0,8,"shared topic/object tokens: campaign, day, salad; negation/contrast cues: avoids; temporal/update cues overlap with question timing; weak preference contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2839,17:45:2,"Did Donald Smith express a continued dislike for rabbits after the community event on May 06, 2034?",Memory Conflict,omission,False,6,"User's second child was born on August 12, 2007, is an aspiring artist who enjoys engaging in family discussions on current events.",1,0,2,5,0,8,shared topic/object tokens: event; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
2870,17:57:1,"Did Donald Smith dislike solo travel after his trip on Jan 21, 2037?",Memory Conflict,omission,False,1,"User dislikes backpacking, adventure‑sport trips, and solo travel, finding them unpredictable or distracting, and instead prefers organized travel with companions that allows him to stay connected and focused on supporting his relative's campaign goals.",3,3,0,2,0,8,"shared topic/object tokens: solo, travel, trip; negation/contrast cues: dislikes, instead; weak preference contrast",not_refuting,P1_memory_conflict_omission_untriggered_suspected,,,,,
2875,17:60:1,"Did Donald Smith express dislike for techno music at the campaign event on Dec 17, 2037?",Memory Conflict,omission,False,17,"User's second child was born on August 12, 2007, is an aspiring artist who enjoys engaging in family discussions on current events.",1,0,2,5,0,8,shared topic/object tokens: event; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3114,19:10:1,"Did Barbara Jones attend a film festival on March 4, 2027, to discuss her dislike for action movies with unrealistic science?",Memory Conflict,omission,False,1,"User likes watching documentaries and biographical films about scientists for factual insight and inspiration, but dislikes action movies with unrealistic scientific premises and finds unrealistic science frustrating.",5,1,0,2,0,8,"shared topic/object tokens: action, film, movi, science, unrealistic; negation/contrast cues: dislikes; weak preference contrast",not_refuting,P1_memory_conflict_omission_untriggered_suspected,,,,,
3182,19:36:1,"Did Barbara Jones maintain her dislike for overly commercialized tourist spots on Sep 30, 2033?",Memory Conflict,omission,False,1,"User prefers traveling to locations with rich scientific history, such as museums and historical sites, and enjoys wellness retreats for relaxation and holistic health learning; they dislike overly commercialized, crowded tourist spots that lack authenticity.",5,1,0,2,0,8,"shared topic/object tokens: commercializ, dislike, overly, spot, tourist; negation/contrast cues: dislike; weak preference contrast",not_refuting,P1_memory_conflict_omission_untriggered_suspected,,,,,
3250,19:65:4,"Did Barbara Jones initiate personal projects unrelated to heart health research after her layoff on Jan 01, 2040?",Memory Conflict,omission,False,3,"User transitioned from the Heart Health Research Lab to the Global Heart Health Institute around October 2025, taking on the position of Lead Research Scientist to lead projects developing innovative dietary plans for global heart health.",4,1,3,0,0,8,"shared topic/object tokens: health, heart, project, research; negation/contrast cues: transitioned; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3253,19:66:1,Did Barbara Jones decide to stop using hibiscus in her herbal tea routine due to its ineffectiveness for heart health?,Memory Conflict,omission,False,18,"During the conversation, the filmmaker explained that fictional portrayals can inspire creativity and innovation in scientific research, a concept Barbara had not considered before.",3,1,0,0,4,8,shared topic/object tokens: barbara; shared entity/name anchor; negation/contrast cues: not; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
3282,19:76:3,"Did Barbara decide to avoid adding seeds to her avocado toast on Sep 05, 2042?",Memory Conflict,omission,False,4,"The filmmaker also mentioned that creative storytelling can engage audiences and spark interest in scientific topics, which Barbara found compelling.",3,0,0,5,0,8,shared topic/object tokens: barbara; shared entity/name anchor; possible preference polarity reversal,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
45,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",Memory Conflict,omission,False,13,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",3,1,3,0,0,7,shared topic/object tokens: new; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
60,1:23:2,"Did Martin express a preference for solo gaming over multiplayer puzzle games on Aug 08, 2028?",Memory Conflict,omission,False,1,"User dislikes violent video games because they promote aggression, which opposes his values of peace and well‑being; he likes puzzle games as they challenge his mind and improve problem‑solving skills crucial to his profession; he also avoids gambling games due to their potential for addiction and financial stress, which are detrimental to mental health.",2,3,0,2,0,7,"shared topic/object tokens: gam, puzzle; negation/contrast cues: avoids, dislikes, opposes; weak preference contrast",object_specificity_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
74,1:30:4,Did Martin's promotion to Senior Director at Huaxin Consulting occur after June 2029?,Memory Conflict,omission,False,1,User reflected that his current role as director at Huaxin Consulting is negatively affecting his mental health and recognized the need for a career change.,5,0,2,0,0,7,"shared topic/object tokens: consult, director, huaxin; shared entity/name anchor; temporal/update cues overlap with question timing",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
75,1:30:5,Did Martin's mental health improve after his promotion in March 2029?,Memory Conflict,omission,False,13,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",3,2,2,0,0,7,"shared topic/object tokens: health; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
94,1:36:1,"Did Martin Mark abandon conservation-focused hikes after December 06, 2030?",Memory Conflict,omission,False,19,"User is disappointed that many wellness retreats have shifted toward luxury experiences, which no longer align with his health‑focused travel goals.",1,3,3,0,0,7,"shared topic/object tokens: focus; negation/contrast cues: no, no longer; temporal/update cues overlap with question timing",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
111,1:44:3,"Did Martin experience a decrease in financial freedom after his salary increase on August 15, 2031?",Memory Conflict,omission,False,2,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",3,2,2,0,0,7,"shared topic/object tokens: august; shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
160,1:65:2,Did Martin launch his Global Health Initiative in May 2035?,Memory Conflict,omission,False,2,"User aims to establish a global health initiative that will provide healthcare access to one million underserved people, motivated by his family’s medical background and a desire to promote well‑being worldwide.",3,0,0,0,4,7,"shared topic/object tokens: global, health, initiative; possible event completion vs plan/alternative contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
286,2:53:1,"Did Johnson Joseph's income decrease to $2000 after adopting eco-conscious practices at Albi B&B on Jun 15, 2037?",Memory Conflict,omission,False,14,"User’s long‑term goal is to host 10,000 guests annually at Albi B&B.",3,0,0,0,4,7,shared topic/object tokens: albi; shared entity/name anchor; possible event completion vs plan/alternative contrast,temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
286,2:53:1,"Did Johnson Joseph's income decrease to $2000 after adopting eco-conscious practices at Albi B&B on Jun 15, 2037?",Memory Conflict,omission,False,17,"User plans to expand Albi B&B to new locations while incorporating wellness‑focused guest experiences, such as guided mindfulness sessions, yoga, and meditation retreats, to create unforgettable stays.",3,0,0,0,4,7,shared topic/object tokens: albi; shared entity/name anchor; possible event completion vs plan/alternative contrast,temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
296,2:55:1,"Did Johnson Joseph plan to incorporate racing games into Albi B&B's offerings on Aug 04, 2038?",Memory Conflict,omission,False,8,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",4,0,3,0,0,7,"shared topic/object tokens: albi, incorporate; shared entity/name anchor; temporal/update cues overlap with question timing",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
335,2:71:1,"Did Johnson Joseph decide to exclude dogs from Albi B&B on September 12, 2042?",Memory Conflict,omission,False,9,"User plans to expand Albi B&B to new locations while incorporating wellness‑focused guest experiences, such as guided mindfulness sessions, yoga, and meditation retreats, to create unforgettable stays.",3,0,0,0,4,7,shared topic/object tokens: albi; shared entity/name anchor; possible event completion vs plan/alternative contrast,temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
335,2:71:1,"Did Johnson Joseph decide to exclude dogs from Albi B&B on September 12, 2042?",Memory Conflict,omission,False,13,"User’s long‑term goal is to host 10,000 guests annually at Albi B&B.",3,0,0,0,4,7,shared topic/object tokens: albi; shared entity/name anchor; possible event completion vs plan/alternative contrast,temporal_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
362,3:5:2,"Did Donald Brown express joy over his recent dining experience on January 14, 2026?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
391,3:17:1,"Did Donald Brown express a dislike for tropical fruits like mango and pineapple during his vacation in Hawaii on Jan 05, 2028?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
394,3:19:1,"Did Donald Brown continue to dislike tight-fitting jeans after April 17, 2028?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
422,3:28:2,"Did Donald Brown express dislike for spicy vegetable stir-fry after the cooking class on Dec 25, 2029?",Memory Conflict,omission,False,2,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
423,3:28:3,"Did Donald Brown decide to exclude spicy elements from his regular cooking routine after the class on Dec 25, 2029?",Memory Conflict,omission,False,11,"Donald hopes to use his skills to develop accessible technologies that improve the lives of people with disabilities, aiming for real impact.",3,0,0,0,4,7,shared topic/object tokens: donald; shared entity/name anchor; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
425,3:29:2,"Did Donald Brown express a preference for synthetic fiber t-shirts due to their environmental benefits on April 07, 2030?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
426,3:29:3,"Did Donald Brown plan to explore more synthetic clothing options after watching documentaries on April 07, 2030?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
430,3:30:4,"Did Donald Brown retire permanently after August 07, 2029?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
430,3:30:4,"Did Donald Brown retire permanently after August 07, 2029?",Memory Conflict,omission,False,19,"Donald hopes to use his skills to develop accessible technologies that improve the lives of people with disabilities, aiming for real impact.",3,0,0,0,4,7,shared topic/object tokens: donald; shared entity/name anchor; possible event completion vs plan/alternative contrast,slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
431,3:30:5,"Was Donald Brown unhappy with his role at AccessTech Innovations on April 15, 2030?",Memory Conflict,omission,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
436,3:31:3,"Did Donald Brown express a preference for nature retreats over culturally immersive travel experiences on Jul 19, 2030?",Memory Conflict,omission,False,4,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
66,1:26:2,"Did Martin express a dislike for horror films on February 13, 2029?",Memory Conflict,hallucination,False,5,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
752,5:17:1,"Did Donna Gonzalez find crowded city tours uninspiring and avoid them as of May 27, 2028?",Memory Conflict,hallucination,False,4,"User's mother, born May 6, 1952, is a former concert pianist who instilled a love for classical music in Donna.",4,0,2,5,0,11,"shared topic/object tokens: donna, may; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
752,5:17:1,"Did Donna Gonzalez find crowded city tours uninspiring and avoid them as of May 27, 2028?",Memory Conflict,hallucination,False,5,"User's father, born May 6, 1952, is a retired music teacher who inspired Donna's early interest in music.",3,1,2,5,0,11,shared topic/object tokens: may; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
798,5:34:3,"Did Donna Gonzalez express a dislike for romance novels on May 16, 2032?",Memory Conflict,hallucination,False,3,"User's mother, born May 6, 1952, is a former concert pianist who instilled a love for classical music in Donna.",4,0,2,5,0,11,"shared topic/object tokens: donna, may; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
798,5:34:3,"Did Donna Gonzalez express a dislike for romance novels on May 16, 2032?",Memory Conflict,hallucination,False,8,"User's father, born May 6, 1952, is a retired music teacher who inspired Donna's early interest in music.",3,1,2,5,0,11,shared topic/object tokens: may; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
2348,14:39:1,"Did Williams Daniel express dislike for massively multiplayer online games on June 6, 2031?",Memory Conflict,hallucination,False,6,"User's father was born on June 16, 1954, is a retired history professor, and inspired Williams's love for historical accuracy.",3,1,2,5,0,11,shared topic/object tokens: june; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
752,5:17:1,"Did Donna Gonzalez find crowded city tours uninspiring and avoid them as of May 27, 2028?",Memory Conflict,hallucination,False,10,"User has one child, born May 6, 2015, who shows early interest in music and plays the piano.",3,0,2,5,0,10,shared topic/object tokens: may; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
798,5:34:3,"Did Donna Gonzalez express a dislike for romance novels on May 16, 2032?",Memory Conflict,hallucination,False,14,"User has one child, born May 6, 2015, who shows early interest in music and plays the piano.",3,0,2,5,0,10,shared topic/object tokens: may; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1282,8:12:15,"Did Ananya Sharma plan to contribute to more major film festivals before her salary increase on Nov 18, 2026?",Memory Conflict,hallucination,False,3,"User recently transitioned to a film festival consultant role, noting a significant expansion of their network within the film industry.",2,1,3,0,4,10,"shared topic/object tokens: festival, film; negation/contrast cues: transitioned; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast",premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
327,2:68:6,"Is Johnson Joseph's mental health status 'Highly Positive' as of April 10, 2041?",Memory Conflict,hallucination,False,1,"Assistant noted that after the health improvements, User's mental health status is now Overwhelmingly Positive.",6,0,3,0,0,9,"shared topic/object tokens: health, mental, positive, statu; shared entity/name anchor; temporal/update cues overlap with question timing",not_refuting,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
417,3:24:3,"Did Donald Brown decide to keep sugary sodas on his dislike list after the party on Jun 02, 2029?",Memory Conflict,hallucination,False,10,Donald is considering nature retreats and cultural immersion trips as activities that align with his interests and can further enhance his well‑being after retirement.,3,0,2,0,4,9,shared topic/object tokens: donald; shared entity/name anchor; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
2348,14:39:1,"Did Williams Daniel express dislike for massively multiplayer online games on June 6, 2031?",Memory Conflict,hallucination,False,1,"User dislikes massively multiplayer online games, as they can be overwhelming and focus on fantasy elements that do not align with his interest in historical accuracy.",4,3,0,2,0,9,"shared topic/object tokens: gam, massively, multiplayer, online; negation/contrast cues: dislikes, do not, not; weak preference contrast",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
9,1:5:1,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?",Memory Conflict,hallucination,False,1,"User prefers dogs, especially Labradors, because they are friendly, loyal, and serve as great companions for outdoor activities like jogging, which helps him stay fit; he dislikes reptiles such as snakes due to their unsettling unpredictable movements and lack of social behavior; he likes cats for their independence, affection, and soothing purring after a long workday; he also likes parrots for their intelligence and ability to mimic speech, making interactions fun and engaging.",3,1,2,2,0,8,shared topic/object tokens: labrador; shared entity/name anchor; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast,not_refuting,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
9,1:5:1,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?",Memory Conflict,hallucination,False,2,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,2,0,8,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; weak preference contrast",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
417,3:24:3,"Did Donald Brown decide to keep sugary sodas on his dislike list after the party on Jun 02, 2029?",Memory Conflict,hallucination,False,18,"Donald plans to weave mindfulness and cultural understanding into his daily routine, intending to practice meditation and read about different cultures regularly.",3,1,0,0,4,8,shared topic/object tokens: donald; shared entity/name anchor; negation/contrast cues: different; possible event completion vs plan/alternative contrast,slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1282,8:12:15,"Did Ananya Sharma plan to contribute to more major film festivals before her salary increase on Nov 18, 2026?",Memory Conflict,hallucination,False,1,User aims to influence film discourse significantly and contribute to at least five major film festivals.,4,0,0,0,4,8,"shared topic/object tokens: contribute, festival, film, major; possible event completion vs plan/alternative contrast",premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1439,9:1:2,Is Jennifer Martin single as of September 2025?,Memory Conflict,hallucination,False,2,"User reports a normal physical condition with no chronic diseases, currently as of September 5, 2025.",4,1,3,0,0,8,"shared topic/object tokens: 2025, september; shared entity/name anchor; negation/contrast cues: no; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1439,9:1:2,Is Jennifer Martin single as of September 2025?,Memory Conflict,hallucination,False,7,"User is employed in the IT consulting industry as a Cloud Solutions Consultant at CloudTech Advisors, earning a monthly income of 9,690 USD and having 5,340 USD in savings, currently as of September 5, 2025.",4,1,3,0,0,8,"shared topic/object tokens: 2025, september; shared entity/name anchor; negation/contrast cues: employed; temporal/update cues overlap with question timing",absence_not_refutation,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
2149,13:31:1,"Did Sharon Brown retire after her promotion to Senior Advisor at Partnership Enterprise on May 24, 2029?",Memory Conflict,hallucination,False,1,"User retired from the Senior Consultant position at Partnership Enterprise around December 3, 2025, deciding to leave the role to focus on health and personal projects.",5,1,2,0,0,8,"shared topic/object tokens: enterprise, partnership, senior; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
2331,14:36:1,"Did Williams Daniel transition to a Marketing Director role on June 1, 2030?",Memory Conflict,hallucination,False,1,"User's full name is Williams Daniel, male, born on June 16, 1984, currently 41 years old, and lives in Philadelphia.",5,0,3,0,0,8,"shared topic/object tokens: daniel, june, william; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
2348,14:39:1,"Did Williams Daniel express dislike for massively multiplayer online games on June 6, 2031?",Memory Conflict,hallucination,False,2,"User's full name is Williams Daniel, male, born on June 16, 1984, currently 41 years old, and lives in Philadelphia.",5,0,3,0,0,8,"shared topic/object tokens: daniel, june, william; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
76,1:30:6,Did Martin Mark express optimism about his future role as Senior Director before June 2029?,Memory Conflict,hallucination,False,5,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",3,1,3,0,0,7,shared topic/object tokens: role; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing,slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
242,2:35:2,"On June 16, 2033, did Johnson Joseph believe cats negatively affected guest interactions at Albi B&B?",Memory Conflict,hallucination,False,7,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",4,0,3,0,0,7,"shared topic/object tokens: albi, guest; shared entity/name anchor; temporal/update cues overlap with question timing",,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
417,3:24:3,"Did Donald Brown decide to keep sugary sodas on his dislike list after the party on Jun 02, 2029?",Memory Conflict,hallucination,False,1,"User's name is Donald Brown, male, born on October 3, 1994, currently 31 years old, and resides in Los Angeles.",4,0,3,0,0,7,"shared topic/object tokens: brown, donald; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
567,4:23:3,"On June 22, 2029, did Sarah Garcia express dislike for cargo pants due to their utilitarian design?",Memory Conflict,hallucination,False,2,"User's name is Sarah Garcia, she is female, was born on March 26, 1986 (age 39 as of September 4, 2025), and currently lives in Miami",4,0,3,0,0,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing",,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
683,4:66:1,"Did Sarah Garcia dislike premium instant coffee as of February 28, 2040?",Memory Conflict,hallucination,False,1,"User's name is Sarah Garcia, she is female, was born on March 26, 1986 (age 39 as of September 4, 2025), and currently lives in Miami",4,0,3,0,0,7,"shared topic/object tokens: garcia, sarah; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1282,8:12:15,"Did Ananya Sharma plan to contribute to more major film festivals before her salary increase on Nov 18, 2026?",Memory Conflict,hallucination,False,5,"User plans to become more involved in strategic planning for festivals, anticipating time‑management challenges and intending to rely on their network for support.",3,0,0,0,4,7,"shared topic/object tokens: festival, more, plan; possible event completion vs plan/alternative contrast",premise_anchor_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1439,9:1:2,Is Jennifer Martin single as of September 2025?,Memory Conflict,hallucination,False,4,"User reports stable and normal mental health with no issues, maintaining balance through regular exercise and mindfulness practices as of September 5, 2025.",4,1,2,0,0,7,"shared topic/object tokens: 2025, september; shared entity/name anchor; negation/contrast cues: no; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1588,10:6:2,"Did Susan Thompson's interest in science fiction novels begin after attending a health workshop on Feb 23, 2026?",Memory Conflict,hallucination,False,2,"User's reading preferences: dislikes science fiction novels, self‑help books, and cookbooks with rich recipes because they feel overwhelming, oversimplify emotional issues, and conflict with dietary needs; likes health and wellness guides for practical advice and mystery novels for suspense that distracts from discomfort.",4,1,0,2,0,7,"shared topic/object tokens: fiction, health, novel, science; negation/contrast cues: dislikes; weak preference contrast",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1621,10:18:3,Did Susan Thompson decide to avoid all carbonated drinks after attending the wellness retreat on 2028-02-04?,Memory Conflict,hallucination,False,1,"User's name is Susan Thompson, she is female, born on June 15, 1965 (age 60 as of 2025), and currently resides in Fort Worth.",4,0,3,0,0,7,"shared topic/object tokens: susan, thompson; shared entity/name anchor; temporal/update cues overlap with question timing",slot_mismatch,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
1807,11:18:2,"Did Michelle Hernandez decide to focus more on mobile games with repetitive tasks on Feb 09, 2028?",Memory Conflict,hallucination,False,2,"User's name is Michelle Hernandez, female, born April 20, 1980, currently 45 years old, and resides in San Jose.",4,0,3,0,0,7,"shared topic/object tokens: hernandez, michelle; shared entity/name anchor; temporal/update cues overlap with question timing",absence_not_refutation,P2_memory_conflict_hallucination_untriggered_suspected,,,,,
